10	-4.654632e-05
12	-4.666884e-05
14	-4.679137e-05
16	-4.691390e-05
18	-4.703642e-05
20	-4.715895e-05
22	-4.726090e-05
24	-4.736285e-05
26	-4.746480e-05
28	-4.756675e-05
30	-4.766870e-05
32	-4.777289e-05
34	-4.787707e-05
36	-4.798125e-05
38	-4.808544e-05
40	-4.818962e-05
42	-4.829715e-05
44	-4.840468e-05
46	-4.851221e-05
48	-4.861974e-05
50	-4.872726e-05
52	-4.883506e-05
54	-4.894286e-05
56	-4.905066e-05
58	-4.915846e-05
60	-4.926625e-05
62	-4.938556e-05
64	-4.950487e-05
66	-4.962418e-05
68	-4.974349e-05
70	-4.986279e-05
72	-4.997434e-05
74	-5.008588e-05
76	-5.019743e-05
78	-5.030897e-05
80	-5.042052e-05
82	-5.052635e-05
84	-5.063219e-05
86	-5.073802e-05
88	-5.084386e-05
90	-5.094969e-05
92	-5.105713e-05
94	-5.116457e-05
96	-5.127201e-05
98	-5.137945e-05
100	-5.148689e-05
102	-5.159174e-05
104	-5.169659e-05
106	-5.180144e-05
108	-5.190629e-05
110	-5.201115e-05
112	-5.211313e-05
114	-5.221511e-05
118	-5.245175e-05
120	-5.256898e-05
122	-5.267183e-05
124	-5.275738e-05
126	-5.287383e-05
128	-5.298483e-05
130	-5.308867e-05
132	-5.319531e-05
134	-5.330083e-05
136	-5.341215e-05
138	-5.350964e-05
140	-5.360791e-05
142	-5.371667e-05
144	-5.380122e-05
146	-5.391912e-05
148	-5.402565e-05
150	-5.406179e-05
152	-5.421505e-05
154	-5.435136e-05
156	-5.441896e-05
158	-5.454545e-05
160	-5.464695e-05
162	-5.471533e-05
164	-5.478103e-05
166	-5.488789e-05
168	-5.499508e-05
170	-5.508086e-05
172	-5.517456e-05
174	-5.527629e-05
176	-5.536452e-05
178	-5.545343e-05
180	-5.553719e-05
182	-5.563903e-05
184	-5.573117e-05
186	-5.581539e-05
188	-5.592303e-05
190	-5.600334e-05
192	-5.608555e-05
194	-5.618560e-05
196	-5.626547e-05
198	-5.634846e-05
200	-5.642509e-05
202	-5.650195e-05
204	-5.658002e-05
206	-5.665175e-05
208	-5.673507e-05
210	-5.681728e-05
212	-5.689235e-05
214	-5.695035e-05
216	-5.703457e-05
218	-5.710406e-05
220	-5.719464e-05
222	-5.726569e-05
224	-5.734333e-05
226	-5.742888e-05
228	-5.749960e-05
230	-5.756821e-05
232	-5.763636e-05
234	-5.770183e-05
236	-5.779007e-05
238	-5.787394e-05
240	-5.794712e-05
242	-5.802810e-05
244	-5.810596e-05
246	-5.816084e-05
248	-5.824104e-05
250	-5.832347e-05
252	-5.838906e-05
254	-5.843848e-05
256	-5.851087e-05
258	-5.857267e-05
260	-5.865577e-05
262	-5.870161e-05
264	-5.874110e-05
266	-5.888086e-05
268	-5.890128e-05
270	-5.899152e-05
272	-5.904216e-05
274	-5.909425e-05
276	-5.918337e-05
278	-5.923078e-05
280	-5.929168e-05
282	-5.935850e-05
284	-5.944127e-05
286	-5.951031e-05
288	-5.957155e-05
290	-5.962275e-05
292	-5.966870e-05
294	-5.973719e-05
296	-5.980144e-05
298	-5.986949e-05
300	-5.987038e-05
302	-6.001784e-05
304	-6.002007e-05
306	-6.005978e-05
308	-6.012648e-05
310	-6.017178e-05
312	-6.022163e-05
314	-6.026000e-05
316	-6.031120e-05
318	-6.035939e-05
320	-6.039319e-05
322	-6.046291e-05
324	-6.049514e-05
326	-6.053697e-05
328	-6.058337e-05
330	-6.062609e-05
332	-6.067484e-05
334	-6.072504e-05
336	-6.075660e-05
338	-6.081404e-05
340	-6.085331e-05
342	-6.090150e-05
344	-6.095738e-05
346	-6.100055e-05
348	-6.103257e-05
350	-6.108755e-05
352	-6.112994e-05
354	-6.115527e-05
356	-6.119698e-05
358	-6.124706e-05
360	-6.128722e-05
362	-6.132927e-05
364	-6.136530e-05
366	-6.140691e-05
368	-6.144004e-05
370	-6.148243e-05
372	-6.152359e-05
374	-6.155125e-05
376	-6.159843e-05
378	-6.162587e-05
380	-6.166480e-05
382	-6.171109e-05
384	-6.174779e-05
386	-6.178360e-05
388	-6.181483e-05
390	-6.186000e-05
392	-6.190607e-05
394	-6.193864e-05
396	-6.196765e-05
398	-6.198037e-05
