10	-6.643024e-05
12	-6.620699e-05
14	-6.598374e-05
16	-6.576049e-05
18	-6.553724e-05
20	-6.531399e-05
22	-6.517143e-05
24	-6.502888e-05
26	-6.488633e-05
28	-6.474377e-05
30	-6.460122e-05
32	-6.446357e-05
34	-6.432593e-05
36	-6.418828e-05
38	-6.405063e-05
40	-6.391299e-05
42	-6.378940e-05
44	-6.366580e-05
46	-6.354221e-05
48	-6.341862e-05
50	-6.329503e-05
52	-6.318571e-05
54	-6.307640e-05
56	-6.296709e-05
58	-6.285777e-05
60	-6.274846e-05
62	-6.264539e-05
64	-6.254232e-05
66	-6.243926e-05
68	-6.233619e-05
70	-6.223312e-05
72	-6.214121e-05
74	-6.204930e-05
76	-6.195739e-05
78	-6.186547e-05
80	-6.177356e-05
82	-6.166866e-05
84	-6.156377e-05
86	-6.145887e-05
88	-6.135397e-05
90	-6.124908e-05
92	-6.116256e-05
94	-6.107605e-05
96	-6.098953e-05
98	-6.090302e-05
100	-6.081651e-05
102	-6.073218e-05
104	-6.064785e-05
106	-6.056352e-05
108	-6.047919e-05
110	-6.039486e-05
112	-6.033463e-05
114	-6.027439e-05
118	-6.015538e-05
120	-6.005744e-05
122	-5.999330e-05
124	-5.991042e-05
126	-5.986848e-05
128	-5.981929e-05
130	-5.971109e-05
132	-5.967763e-05
134	-5.964305e-05
136	-5.954388e-05
138	-5.948867e-05
140	-5.942331e-05
142	-5.936129e-05
144	-5.931344e-05
146	-5.925376e-05
148	-5.920836e-05
150	-5.914634e-05
152	-5.909090e-05
154	-5.903067e-05
156	-5.897802e-05
158	-5.892916e-05
160	-5.888366e-05
162	-5.881985e-05
164	-5.876408e-05
166	-5.871042e-05
168	-5.866982e-05
170	-5.862576e-05
172	-5.857256e-05
174	-5.853262e-05
176	-5.848744e-05
178	-5.844840e-05
180	-5.841059e-05
182	-5.837032e-05
184	-5.832927e-05
186	-5.830362e-05
188	-5.826213e-05
190	-5.822877e-05
192	-5.819643e-05
194	-5.816619e-05
196	-5.812492e-05
198	-5.809726e-05
200	-5.807027e-05
202	-5.805565e-05
204	-5.802253e-05
206	-5.797768e-05
208	-5.796764e-05
210	-5.794634e-05
212	-5.792080e-05
214	-5.789458e-05
216	-5.787161e-05
218	-5.786168e-05
220	-5.785844e-05
222	-5.781338e-05
224	-5.781818e-05
226	-5.779174e-05
228	-5.776218e-05
230	-5.774009e-05
232	-5.773385e-05
234	-5.775872e-05
236	-5.773786e-05
238	-5.767863e-05
240	-5.764997e-05
242	-5.767540e-05
244	-5.771187e-05
246	-5.767573e-05
248	-5.760847e-05
250	-5.759921e-05
