0.00100009	0	6.8153	6.2731	2.5575	2.4067	4.1311	4.4107	3.1896
0.00100009	0.00013264	6.75893	6.24832	2.53268	2.38642	4.15022	4.49113	3.20316
0.00100009	0.00026527	6.70503	6.2247	2.50892	2.36705	4.16838	4.56913	3.21621
0.00100009	0.00039791	6.65419	6.20249	2.48647	2.34881	4.18535	4.64412	3.22862
0.00100009	0.00053055	6.6071	6.18203	2.46563	2.33196	4.20088	4.7154	3.24026
0.00100009	0.00066319	6.56442	6.16362	2.44667	2.31674	4.21472	4.78228	3.25096
0.00100009	0.00079582	6.52668	6.14749	2.42983	2.30335	4.22665	4.84418	3.26064
0.00100009	0.00092846	6.49412	6.13377	2.4152	2.29186	4.2366	4.90081	3.26922
0.00100009	0.0010611	6.46664	6.12239	2.40276	2.28225	4.24462	4.95218	3.27673
0.00100009	0.00119374	6.4438	6.11315	2.39231	2.27435	4.25087	4.99864	3.28324
0.00100009	0.00132637	6.42499	6.10576	2.3836	2.26793	4.25561	5.04074	3.28889
0.00100009	0.00159165	6.39674	6.09526	2.37022	2.25852	4.26162	5.11431	3.29813
0.00100009	0.00185692	6.37722	6.0887	2.36063	2.2523	4.26448	5.17728	3.30541
0.00100009	0.0021222	6.36321	6.08459	2.35346	2.24806	4.26542	5.23274	3.31139
0.00100009	0.00238747	6.35276	6.08201	2.34786	2.2451	4.26521	5.28268	3.31648
0.00100009	0.00265275	6.34467	6.08043	2.34333	2.24297	4.26429	5.32835	3.32094
0.00100009	0.00291802	6.33822	6.07949	2.33956	2.2414	4.26294	5.37057	3.32492
0.00100009	0.00318329	6.33294	6.079	2.33633	2.24022	4.26131	5.40991	3.32853
0.00100009	0.00344857	6.32852	6.07882	2.33352	2.23933	4.25953	5.44677	3.33184
0.00100009	0.00397912	6.32151	6.07905	2.32881	2.23812	4.25575	5.51419	3.33775
